file,algorithm,sign_ops_per_s,verify_ops_per_s,sign_dyn_pkg_mj_per_op,verify_dyn_pkg_mj_per_op,sign_dyn_cores_mj_per_op,verify_dyn_cores_mj_per_op
benchmark_log_sphincs_20260118_123252.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1567.56,1556.369,2.004,1551.177,1.953
benchmark_log_sphincs_20260118_130916.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.6,630.41,72.469,5.106,69.736,4.875
benchmark_log_sphincs_20260118_133739.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1565.42,1602.896,2.004,1575.523,1.964
benchmark_log_sphincs_20260118_141402.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.25,1567.4,2.005,1554.415,1.956
benchmark_log_sphincs_20260118_151826.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.55,629.98,70.536,4.982,69.924,4.858
benchmark_log_sphincs_20260118_192511.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.56,630.98,72.368,5.065,69.524,4.855
benchmark_log_sphincs_20260118_202133.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1567.43,1667.459,2.051,1593.836,1.98
benchmark_log_sphincs_20260118_212557.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.6,629.49,72.792,5.099,69.863,4.885
benchmark_log_sphincs_20260118_215420.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.6,632.67,73.247,5.114,69.833,4.855
benchmark_log_sphincs_20260118_235117.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1567.75,1602.356,2.147,1578.136,2.026
benchmark_log_sphincs_20260119_012343.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1565.8,1651.182,2.089,1597.897,1.998
benchmark_log_sphincs_20260119_022929.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.62,1670.676,2.088,1586.534,2.016
benchmark_log_sphincs_20260119_030553.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.57,631.04,73.648,5.099,70.502,4.88
benchmark_log_sphincs_20260119_043127.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.6,629.01,72.571,5.09,70.237,4.921
benchmark_log_sphincs_20260119_062353.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.58,1677.859,2.053,1599.55,1.975
benchmark_log_sphincs_20260120_102602.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1567.69,1640.217,2.113,1582.174,2.012
benchmark_log_sphincs_20260120_113025.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.54,629.33,73.198,4.996,70.694,4.875
benchmark_log_sphincs_20260120_132434.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1566.87,1604.247,2.081,1569.243,1.999
benchmark_log_sphincs_20260120_140058.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1567.26,1623.769,2.059,1579.87,1.998
benchmark_log_sphincs_20260120_153434.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1564.95,1611.904,2.078,1569.116,1.998
benchmark_log_sphincs_20260120_161058.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.56,630.92,70.802,5.037,69.238,4.842
benchmark_log_sphincs_20260120_180452.txt,sphincs-SPHINCS+-SHA2-192s-simple,1.98,1568.82,1657.965,2.11,1582.083,1.982
benchmark_log_sphincs_20260120_193835.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.56,631.46,71.234,5.158,69.673,4.864
benchmark_log_sphincs_20260120_203458.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.57,630.04,70.904,5.098,69.954,4.917
benchmark_log_sphincs_20260120_210320.txt,sphincs-SPHINCS+-SHA2-192f-simple,44.6,630.42,71.732,5.143,69.392,4.859
